Wall time,Step,Value,Error
1554988247.19028,226,85.81494140625,7.60976123809814
1554988247.93564,227,85.8984146118164,7.53644323348999
1554988248.73323,228,85.9742126464844,7.46653461456299
1554988249.46394,229,86.0615844726562,7.35712432861328
1554988250.5852,230,86.1989593505859,7.05548810958862
1554988251.38283,231,86.3494186401367,6.74397230148315
1554988252.08259,232,86.5157623291016,6.49584341049194
1554988252.83172,233,86.5546035766602,6.47034311294556
1554988253.59587,234,86.644416809082,6.34720373153687
1554988254.31736,235,86.7408905029297,6.27115201950073
1554988255.05374,236,86.8236846923828,6.14831066131592
1554988255.76174,237,86.9878005981445,5.85868310928345
1554988256.5116,238,87.137565612793,5.62793445587158
1554988257.31599,239,87.2137908935547,5.50325727462769
1554988258.49361,240,87.3397750854492,5.28228330612183
1554988259.23115,241,87.4082946777344,5.26227712631226
1554988259.84191,242,87.5712966918945,5.05907678604126
1554988260.58448,243,87.69384765625,4.88883066177368
1554988261.32151,244,87.8210678100586,4.59051561355591
1554988262.05162,245,87.8924102783203,4.51480960845947
1554988262.78772,246,87.9440612792969,4.47708988189697
1554988263.41024,247,88.1031799316406,4.34861373901367
1554988264.10807,248,88.228157043457,4.2716383934021
1554988264.81514,249,88.4561614990234,3.90859603881836
1554988266.01552,250,88.5981521606445,3.85411882400513
1554988266.80464,251,88.7021179199219,3.5536105632782
1554988267.52461,252,88.8263702392578,3.52896046638489
1554988268.25201,253,88.9974136352539,3.50742244720459
1554988268.95429,254,89.1311111450195,3.55477547645569
1554988269.67733,255,89.206169128418,3.4809684753418
1554988270.4307,256,89.2525863647461,3.43592286109924
1554988271.20979,257,89.3200225830078,3.33311152458191
1554988271.88802,258,89.392692565918,3.25789737701416
1554988272.57997,259,89.4527053833008,3.18610548973083
1554988273.65186,260,89.6006622314453,2.90391421318054
1554988274.37172,261,89.6540145874024,2.80148339271545
1554988275.02789,262,89.7206878662109,2.72436881065369
1554988275.67621,263,89.8452377319336,2.47825479507446
1554988276.31603,264,89.9092330932617,2.42108178138733
1554988276.94314,265,89.9791717529297,2.40024280548096
1554988277.70941,266,90.1098175048828,2.18424367904663
1554988278.42587,267,90.1672668457031,2.16106343269348
1554988279.15037,268,90.2577285766602,2.10184693336487
1554988279.83381,269,90.3072662353516,2.0570867061615
1554988280.92193,270,90.378547668457,2.03970980644226
1554988281.5316,271,90.4718780517578,1.98597609996796
1554988282.19191,272,90.5427551269531,1.94736754894257
1554988282.85906,273,90.5972366333008,1.93931591510773
1554988283.61656,274,90.7148971557617,1.81552875041962
1554988284.32851,275,90.7612457275391,1.80962586402893
1554988284.98718,276,90.8241500854492,1.75332069396973
1554988285.616,277,90.904541015625,1.71516036987305
1554988286.33284,278,90.9370040893555,1.70561075210571
1554988286.97622,279,91.0575332641602,1.68903315067291
1554988287.94401,280,91.1914291381836,1.72762382030487
1554988288.69863,281,91.2323760986328,1.70420718193054
1554988289.33998,282,91.273063659668,1.71068894863129
1554988289.96816,283,91.3109817504883,1.70710694789886
1554988290.66224,284,91.3575820922852,1.72088837623596
1554988291.34407,285,91.3776626586914,1.71224284172058
1554988291.9578,286,91.4263916015625,1.64899432659149
1554988292.57625,287,91.4746398925781,1.61392939090729
1554988293.29109,288,91.4884033203125,1.61536657810211
1554988293.89795,289,91.5226440429688,1.60690987110138
1554988294.90938,290,91.5746536254883,1.56905233860016
1554988295.51319,291,91.6069488525391,1.56184434890747
1554988296.25906,292,91.6531448364258,1.54645240306854
1554988296.96817,293,91.6679534912109,1.54080700874329
1554988297.63802,294,91.6904373168945,1.52603542804718
1554988298.29879,295,91.7168426513672,1.52124965190887
1554988299.01003,296,91.7459945678711,1.48609888553619
1554988299.6586,297,91.7664184570313,1.48266577720642
1554988300.24535,298,91.798698425293,1.47116243839264
1554988300.90958,299,91.8274765014649,1.46039569377899
1554988302.20894,300,91.7899780273438,1.56882202625275
