Wall time,Step,Value,Min,Max,Error
1555179789.02469,272,89.8935623168945,80.965690612793,93.5250396728516,2.74237656593323
1555179789.68318,273,89.9281005859375,81.2350921630859,93.6842956542969,2.71804928779602
1555179790.43955,274,89.9480514526367,81.3070983886719,93.7984466552734,2.7143120765686
1555179791.0937,275,89.9688949584961,81.4058837890625,93.7960815429688,2.70949506759644
1555179791.97153,276,89.9974212646484,81.4359130859375,93.8050689697266,2.70821690559387
1555179792.70634,277,90.0936126708984,83.1901321411133,93.7924652099609,2.44904947280884
1555179793.43213,278,90.1149063110352,83.2895202636719,93.8254470825195,2.42757821083069
1555179794.1914,279,90.122314453125,83.4001693725586,93.8233184814453,2.41801285743713
1555179798.90659,280,90.1198272705078,83.4182205200195,93.8656692504883,2.42386770248413
1555179799.61631,281,90.1280059814453,83.5967483520508,93.8595809936524,2.39599251747131
1555179800.3053,282,90.1407089233399,83.7582092285156,93.9278259277344,2.37774395942688
1555179801.0162,283,90.1473617553711,83.8604202270508,93.9125289916992,2.36484503746033
1555179801.82655,284,90.1523895263672,84.084342956543,93.9552993774414,2.34167718887329
1555179802.61315,285,90.1572799682617,84.2868270874024,93.9499740600586,2.31521606445312
1555179803.32732,286,90.1784362792969,84.4646224975586,93.9382858276367,2.29132556915283
1555179804.04208,287,90.2011642456055,84.79931640625,93.9287796020508,2.23078489303589
1555179804.68578,288,90.2268524169922,84.7954559326172,93.9177932739258,2.1891610622406
1555179805.47182,289,90.2235412597656,84.5701065063477,93.8997802734375,2.21316576004028
1555179809.93745,290,90.2261810302734,84.5755233764649,93.9241256713867,2.20957827568054
1555179810.65184,291,90.2572784423828,84.5673446655274,93.9211578369141,2.16010618209839
1555179811.42026,292,90.35546875,84.5674438476562,93.9021072387695,2.0122332572937
1555179812.13887,293,90.3763885498047,84.5145492553711,93.8878479003906,1.99666857719421
1555179812.90914,294,90.4123840332031,84.4911499023437,93.8804473876953,1.96288239955902
1555179813.63364,295,90.4163360595703,84.5740051269531,93.8707122802734,1.94978249073029
1555179814.36818,296,90.4148483276367,84.5509185791016,93.8590621948242,1.9532310962677
1555179815.09305,297,90.4654159545899,84.5992126464844,93.8482437133789,1.9097363948822
1555179815.838,298,90.4873733520508,84.5922088623047,93.8548583984375,1.90436506271362
1555179816.56612,299,90.5251617431641,84.5724105834961,93.8450469970703,1.89685714244843
1555179821.14778,300,90.5424575805664,84.5739517211914,93.8343048095703,1.89282441139221
