Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
93,-642.743713378906,-528.813049316406,-724.27294921875,-619.853820800781,-651.893310546875,-551.057006835937,-551.057006835937,-578.209411621094,-770.974670410156,-815.390258789063,-643.426519775391,98.5775503940072,-815.390258789063,-528.813049316406
94,-635.926513671875,-527.269287109375,-723.331848144531,-617.228088378906,-647.620422363281,-546.477172851563,-546.477172851563,-576.150512695313,-764.149169921875,-810.76953125,-639.539971923828,97.9731045819447,-810.76953125,-527.269287109375
95,-633.595581054688,-523.112976074219,-717.118103027344,-612.090759277344,-642.16064453125,-544.451721191406,-544.451721191406,-573.919372558594,-761.53662109375,-806.187133789063,-635.862463378906,97.3413849192138,-806.187133789063,-523.112976074219
96,-627.027282714844,-518.974792480469,-711.013977050781,-607.023742675781,-639.410827636719,-542.580810546875,-542.580810546875,-569.216979980469,-759.917907714844,-801.650451660156,-631.939758300781,97.067495919818,-801.650451660156,-518.974792480469
97,-621.848083496094,-516.166931152344,-707.566223144531,-603.267272949219,-637.884216308594,-538.295837402344,-538.295837402344,-564.604675292969,-753.427307128906,-795.978454589844,-627.733483886719,96.4050320208458,-795.978454589844,-516.166931152344
98,-618.149658203125,-513.379943847656,-701.646850585938,-598.422058105469,-637.818054199219,-534.1005859375,-534.1005859375,-560.106384277344,-749.578186035156,-792.985717773438,-624.028802490234,96.4465742797772,-792.985717773438,-513.379943847656
99,-611.927978515625,-510.59619140625,-699.06591796875,-592.397583007813,-636.271850585938,-532.130615234375,-532.130615234375,-555.722778320313,-742.044067382813,-786.25390625,-619.854150390625,95.1145266308419,-786.25390625,-510.59619140625
100,-607.11669921875,-507.937561035156,-697.462707519531,-589.066467285156,-632.365661621094,-526.843872070313,-526.843872070313,-551.408813476563,-735.884948730469,-783.461547851563,-615.839215087891,95.3770241511811,-783.461547851563,-507.937561035156
101,-598.808288574219,-499.658447265625,-687.896301269531,-574.133850097656,-624.158081054688,-518.5458984375,-518.5458984375,-542.841674804687,-724.092529296875,-771.433044433594,-606.011401367188,94.2878384393476,-771.433044433594,-499.658447265625
102,-593.738891601562,-487.994659423828,-672.850952148437,-566.690490722656,-612.79638671875,-513.914489746094,-513.914489746094,-531.592712402344,-706.441284179688,-760.186767578125,-596.012112426758,91.5887135853956,-760.186767578125,-487.994659423828
103,-585.383483886719,-483.957000732422,-665.2099609375,-555.330749511719,-602.209777832031,-514.535766601562,-514.535766601562,-517.961547851563,-694.812744140625,-749.810485839844,-588.374728393555,89.039274116359,-749.810485839844,-483.957000732422
104,-572.420654296875,-474.837860107422,-658.658264160156,-546.183288574219,-593.361511230469,-504.697631835938,-504.697631835938,-508.348937988281,-685.751770019531,-739.233520507813,-578.819107055664,89.2096895874074,-739.233520507813,-474.837860107422
105,-570.242797851563,-466.24462890625,-646.629699707031,-529.970642089844,-586.428649902344,-494.998748779297,-494.998748779297,-495.094116210938,-676.402648925781,-729.005432128906,-569.001611328125,89.4210682558684,-729.005432128906,-466.24462890625
106,-561.167114257813,-453.073577880859,-634.478088378906,-517.23193359375,-572.41162109375,-484.902038574219,-484.902038574219,-483.418304443359,-665.602416992188,-717.645385742188,-557.483251953125,89.4734752884889,-717.645385742188,-453.073577880859
107,-548.802551269531,-447.51123046875,-628.707580566406,-502.306030273438,-565.575012207031,-473.397308349609,-473.397308349609,-475.023468017578,-649.393188476563,-710.555053710938,-547.466873168945,89.546852858747,-710.555053710938,-447.51123046875
108,-543.079284667969,-440.726470947266,-621.083129882813,-500.294647216797,-558.123840332031,-468.399993896484,-468.399993896484,-465.150115966797,-638.209716796875,-704.921997070313,-540.838919067383,88.8426704105261,-704.921997070313,-440.726470947266
109,-530.218627929688,-435.455413818359,-622.196350097656,-493.755218505859,-541.5546875,-459.428527832031,-459.428527832031,-458.257873535156,-626.22412109375,-695.401245117187,-532.192059326172,88.5452105096801,-695.401245117187,-435.455413818359
110,-519.265808105469,-428.81591796875,-612.25146484375,-484.255554199219,-525.902893066406,-454.847900390625,-454.847900390625,-446.866119384766,-613.971435546875,-683.72021484375,-522.474520874023,86.6344694962842,-683.72021484375,-428.81591796875
111,-504.069366455078,-419.357635498047,-599.539489746094,-476.001251220703,-519.234130859375,-443.092010498047,-443.092010498047,-429.176574707031,-606.063232421875,-675.438110351563,-511.506381225586,87.9208737082306,-675.438110351563,-419.357635498047
