Step,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Mean,StDev,Min,Max
86,-1159.03857421875,-1070.38159179688,-1201.62060546875,-1110.62341308594,-1049.49328613281,-1127.673828125,-1224.63720703125,-1150.03332519531,-1064.86279296875,-1199.80798339844,-1135.81726074219,61.9358438891814,-1224.63720703125,-1049.49328613281
87,-1156.20556640625,-1068.72509765625,-1198.29284667969,-1108.85620117188,-1049.32751464844,-1123.69885253906,-1219.63757324219,-1145.49621582031,-1064.69006347656,-1200.048828125,-1133.49787597656,60.941661415685,-1219.63757324219,-1049.32751464844
88,-1150.99462890625,-1064.16418457031,-1194.40246582031,-1104.35913085938,-1045.64892578125,-1119.86791992188,-1217.73608398438,-1142.23645019531,-1059.94506835938,-1200.30444335938,-1129.96593017578,61.910124213163,-1217.73608398438,-1045.64892578125
89,-1148.56311035156,-1059.53894042969,-1189.9228515625,-1093.4541015625,-1042.75305175781,-1119.03894042969,-1214.77233886719,-1138.59582519531,-1057.16345214844,-1200.89282226563,-1126.46954345703,62.7467812221489,-1214.77233886719,-1042.75305175781
90,-1143.11730957031,-1055.83520507813,-1190.69372558594,-1085.08251953125,-1042.6611328125,-1115.51770019531,-1218.2138671875,-1136.04821777344,-1052.25305175781,-1201.31469726563,-1124.07374267578,64.8151557836238,-1218.2138671875,-1042.6611328125
91,-1141.62109375,-1054.76171875,-1189.921875,-1081.64685058594,-1034.03198242188,-1110.59765625,-1216.6318359375,-1127.79833984375,-1046.43896484375,-1199.86218261719,-1120.33125,66.4572247424236,-1216.6318359375,-1034.03198242188
92,-1129.26000976563,-1050.64929199219,-1184.06774902344,-1079.88293457031,-1027.06274414063,-1108.09167480469,-1213.46948242188,-1123.71374511719,-1039.47192382813,-1199.60791015625,-1115.52774658203,67.2978302220351,-1213.46948242188,-1027.06274414063
93,-1121.08557128906,-1047.35144042969,-1182.63696289063,-1079.89758300781,-1025.74719238281,-1100.45385742188,-1211.97033691406,-1121.67626953125,-1029.7568359375,-1196.69140625,-1111.72674560547,68.2141349773098,-1211.97033691406,-1025.74719238281
94,-1119.1826171875,-1044.56481933594,-1179.68115234375,-1078.16662597656,-1023.21203613281,-1094.35046386719,-1209.67126464844,-1119.22680664063,-1026.01135253906,-1191.29064941406,-1108.53577880859,68.0459703916816,-1209.67126464844,-1023.21203613281
95,-1115.15661621094,-1043.24658203125,-1175.49060058594,-1077.31896972656,-1028.44641113281,-1092.57250976563,-1207.14868164063,-1115.15771484375,-1016.59234619141,-1186.74975585938,-1105.78801879883,67.2449573525494,-1207.14868164063,-1016.59234619141
96,-1112.86169433594,-1041.80310058594,-1173.15588378906,-1077.24755859375,-1028.85888671875,-1091.38989257813,-1203.04614257813,-1106.52612304688,-1015.40893554688,-1183.87170410156,-1103.4169921875,66.0735293396597,-1203.04614257813,-1015.40893554688
97,-1102.75561523438,-1037.34558105469,-1165.13696289063,-1067.0234375,-1023.90661621094,-1088.18566894531,-1199.88793945313,-1103.09851074219,-1014.30883789063,-1181.45349121094,-1098.31026611328,65.9372803144539,-1199.88793945313,-1014.30883789063
98,-1099.48291015625,-1036.62426757813,-1164.11499023438,-1061.73229980469,-1022.15100097656,-1089.44396972656,-1189.8671875,-1101.29357910156,-1013.56414794922,-1177.29455566406,-1095.55689086914,64.1956847983891,-1189.8671875,-1013.56414794922
99,-1093.81311035156,-1030.03479003906,-1162.34484863281,-1059.94226074219,-1022.56256103516,-1087.48400878906,-1189.64099121094,-1099.34228515625,-1011.30102539063,-1175.6806640625,-1093.21465454102,64.7634324094961,-1189.64099121094,-1011.30102539063
100,-1092.71936035156,-1028.80407714844,-1159.75085449219,-1058.37561035156,-1020.10729980469,-1085.59643554688,-1187.0771484375,-1099.146484375,-1006.38488769531,-1174.10180664063,-1091.20639648438,65.0467169076992,-1187.0771484375,-1006.38488769531
101,-1090.51477050781,-1019.89178466797,-1155.93798828125,-1048.53112792969,-1011.13049316406,-1087.7978515625,-1187.23474121094,-1093.22497558594,-995.503173828125,-1173.57946777344,-1086.33463745117,68.6812162506025,-1187.23474121094,-995.503173828125
102,-1086.60595703125,-1009.67669677734,-1150.37048339844,-1043.00402832031,-1003.20373535156,-1091.56555175781,-1178.39660644531,-1086.19653320313,-992.115600585938,-1169.56579589844,-1081.07009887695,68.9570544880665,-1178.39660644531,-992.115600585938
103,-1089.7841796875,-1006.08013916016,-1141.2529296875,-1034.978515625,-1000.45562744141,-1094.05285644531,-1182.04223632813,-1073.68786621094,-989.829284667969,-1169.06359863281,-1078.12272338867,70.193243808599,-1182.04223632813,-989.829284667969
104,-1076.94287109375,-1002.91070556641,-1142.35986328125,-1034.74670410156,-997.239990234375,-1088.2626953125,-1181.82873535156,-1069.39099121094,-983.241577148437,-1167.2275390625,-1074.41516723633,71.450670509415,-1181.82873535156,-983.241577148437
105,-1074.67053222656,-1001.69842529297,-1140.49462890625,-1024.14343261719,-996.28857421875,-1082.52197265625,-1181.38232421875,-1060.98559570313,-974.396362304688,-1166.2666015625,-1070.2848449707,73.2144452421235,-1181.38232421875,-974.396362304688
106,-1075.81311035156,-999.91552734375,-1128.48681640625,-1016.95642089844,-994.621398925781,-1083.01416015625,-1184.20751953125,-1055.78186035156,-958.227844238281,-1165.37316894531,-1066.23978271484,75.8100207622137,-1184.20751953125,-958.227844238281
107,-1069.71606445313,-995.889404296875,-1122.16442871094,-1004.54022216797,-987.606018066406,-1081.22595214844,-1188.50939941406,-1050.69641113281,-954.07373046875,-1159.28991699219,-1061.37115478516,77.8156562731992,-1188.50939941406,-954.07373046875
108,-1060.73559570313,-992.299621582031,-1120.18176269531,-1002.39794921875,-976.843078613281,-1084.08142089844,-1183.87255859375,-1045.02111816406,-947.153198242187,-1148.86950683594,-1056.14558105469,78.2241179724335,-1183.87255859375,-947.153198242187
109,-1053.16064453125,-988.101928710938,-1121.31384277344,-993.656311035156,-977.413757324219,-1078.34558105469,-1185.79711914063,-1042.16333007813,-942.025634765625,-1147.9375,-1052.99156494141,80.1643206586342,-1185.79711914063,-942.025634765625
